"brand","detail_link","id","image","name","price","quantity_rating","rating"
"Buxom","https://www.sephora.com/product/buxom-power-line-trade-plumping-lip-liner-P473265?skuId=2482867","P473265","https://www.sephora.com/productimages/sku/s2482867-main-zoom.jpg?imwidth=270","Power Line™ Plumping Lip Liner","$22.00","172","4.40"
"Bobbi Brown","https://www.sephora.com/product/luxe-matte-lipstick-P434383?skuId=2088607","P434383","https://www.sephora.com/productimages/sku/s2088607-main-zoom.jpg?imwidth=270","Luxe Matte Lipstick","$41.00","114","4.27"
"BeautyBio","https://www.sephora.com/product/the-pout-sparkling-rose-hyaluronic-acid-collagen-plumping-lip-serum-P438635?skuId=2163079","P438635","https://www.sephora.com/productimages/sku/s2163079-main-zoom.jpg?imwidth=270","The Pout Sparkling Rosé Hyaluronic Acid Collagen Plumping Lip Serum","$39.00","89","3.45"
"Supergoop!","https://www.sephora.com/product/supergoop-unseen-lipscreen-P505699?skuId=2535649","P505699","https://www.sephora.com/productimages/sku/s2535649-main-zoom.jpg?imwidth=270","Unseen Lipscreen Sheer SPF 30 Lip Balm","$22.00","135","2.86"
"fresh","https://www.sephora.com/product/tint-your-hydration-set-P514805?skuId=2838480","P514805","https://www.sephora.com/productimages/sku/s2838480-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Tint Your Hydration Set","$35.00","4","3.50"
"Givenchy","https://www.sephora.com/product/lip-liner-P183916?skuId=1918275","P183916","https://www.sephora.com/productimages/sku/s1918275-main-zoom.jpg?imwidth=270","Lip Liner","$32.00","124","4.48"
"Buxom","https://www.sephora.com/product/powerplump-lip-balm-P420163?skuId=1959121","P420163","https://www.sephora.com/productimages/sku/s1959121-main-zoom.jpg?imwidth=270","Power-full Plump Lip Balm","$20.00","1129","3.60"
"NARS","https://www.sephora.com/product/the-multiple-P2866?skuId=1017920","P2866","https://www.sephora.com/productimages/sku/s1017920-main-zoom.jpg?imwidth=270","The Multiple Cream Blush, Lip and Eye Stick","$39.00","2875","4.33"
"Fashion Fair","https://www.sephora.com/product/fashion-fair-lip-teasers-P502223?skuId=2591808","P502223","https://www.sephora.com/productimages/sku/s2591808-main-zoom.jpg?imwidth=270","Lip Teasers Lip Gloss","$28.00","33","4.18"
"CLINIQUE","https://www.sephora.com/product/clinique-clinique-pop-tm-lip-cheek-oil-black-honey-P514240?skuId=2825255","P514240","https://www.sephora.com/productimages/sku/s2825255-main-zoom.jpg?imwidth=270","Clinique Pop™ Black Honey Cheek + Lip Oil","$27.00","13","4.00"
"Fenty Beauty by Rihanna","https://www.sephora.com/product/cherry-mouth-3-piece-lip-set-pouch-P516580?skuId=2868263","P516580","https://www.sephora.com/productimages/sku/s2868263-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Cherry Mouth 3-Piece Lip Set + Pouch","$49.00","0","0.00"
"Urban Decay","https://www.sephora.com/product/ultimate-ozone-multipurpose-primer-pencil-P395733?skuId=1704550","P395733","https://www.sephora.com/productimages/sku/s1704550-main-zoom.jpg?imwidth=270","Ultimate Ozone Multipurpose Primer Pencil","$23.00","364","4.01"
"Fashion Fair","https://www.sephora.com/product/iconic-lip-shaper-P507457?skuId=2712594","P507457","https://www.sephora.com/productimages/sku/s2712594-main-zoom.jpg?imwidth=270","Iconic Lip Shaper Liner","$23.00","7","4.57"
"fresh","https://www.sephora.com/product/sugar-lip-treatment-mint-rush-P442003?skuId=2175503","P442003","https://www.sephora.com/productimages/sku/s2175503-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Sugar Mint Rush Freshening Lip Treatment","$26.00","546","4.08"
"DIOR","https://www.sephora.com/product/dior-dior-addict-lipstick-case-P483435?skuId=2639466","P483435","https://www.sephora.com/productimages/sku/s2639466-main-zoom.jpg?imwidth=270","Dior Addict Lipstick Case","$32.00","16","3.62"
"fresh","https://www.sephora.com/product/fresh-sugar-advanced-therapy-lip-rescue-ointment-P509778?skuId=2737880","P509778","https://www.sephora.com/productimages/sku/s2737880-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Sugar Advanced Therapy Lip Rescue Ointment","$28.00","44","3.30"
"Buxom","https://www.sephora.com/product/buxom-plump-shot-trade-collagen-infused-lip-serum-P471224?skuId=2435147","P471224","https://www.sephora.com/productimages/sku/s2435147-main-zoom.jpg?imwidth=270&pb=allure-2023-bestofbeauty-badge","Plump Shot™ Collagen-Infused Lip Serum Plumper","$29.00","172","3.89"
"Fenty Beauty by Rihanna","https://www.sephora.com/product/fenty-beauty-rihanna-chocolate-cherriez-2-piece-lip-set-pouch-P516548?skuId=2868321","P516548","https://www.sephora.com/productimages/sku/s2868321-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Chocolate Cherriez 2-Piece Lip Set + Pouch","$32.00","0","0.00"
"MAKEUP BY MARIO","https://www.sephora.com/product/makeup-by-mario-perfecting-lip-scrub-P477805?skuId=2502441","P477805","https://www.sephora.com/productimages/sku/s2502441-main-zoom.jpg?imwidth=270","Perfecting Lip Scrub","$24.00","41","4.32"
"GXVE BY GWEN STEFANI","https://www.sephora.com/product/spark-fire-plumping-lip-balm-P506901?skuId=2676401","P506901","https://www.sephora.com/productimages/sku/s2676401-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Spark The Fire Plumping Lip Balm","$22.00","122","3.93"
"Iconic London","https://www.sephora.com/product/lip-plumping-gloss-P461218?skuId=2380301","P461218","https://www.sephora.com/productimages/sku/s2380301-main-zoom.jpg?imwidth=270","Lip Plumping Gloss","$26.00","27","3.52"
"CLINIQUE","https://www.sephora.com/product/quickliner-for-lips-intense-P400708?skuId=1719079","P400708","https://www.sephora.com/productimages/sku/s1719079-main-zoom.jpg?imwidth=270","Quickliner™ For Lips Intense Lip Liner","$22.00","20","4.25"
"Kiehl's Since 1851","https://www.sephora.com/product/buttermask-intense-repair-lip-treatment-P432239?skuId=2201093","P432239","https://www.sephora.com/productimages/sku/s2201093-main-zoom.jpg?imwidth=270","Buttermask Intense Repair Lip Treatment","$24.00","201","4.02"
"NATASHA DENONA","https://www.sephora.com/product/my-dream-lip-gloss-soft-hydrating-lip-shine-P502353?skuId=2597664","P502353","https://www.sephora.com/productimages/sku/s2597664-main-zoom.jpg?imwidth=270","My Dream Lip Gloss - Soft & Hydrating Lip Shine","$27.00","133","4.62"
"Too Faced","https://www.sephora.com/product/lip-injection-plumping-lip-gloss-P74520?skuId=1493998","P74520","https://www.sephora.com/productimages/sku/s1493998-main-zoom.jpg?imwidth=270","Lip Injection Hydrating & Plumping Lip Gloss","$26.00","1234","3.72"
"SIMIHAZE BEAUTY","https://www.sephora.com/product/lunar-lip-gel-P503304?skuId=2633881","P503304","https://www.sephora.com/productimages/sku/s2633881-main-zoom.jpg?imwidth=270","Lunar Lip Gel Lip Gloss","$30.00","22","2.59"
"fresh","https://www.sephora.com/product/fresh-sugar-recovery-lip-mask-advanced-therapy-P474832?skuId=2476349","P474832","https://www.sephora.com/productimages/sku/s2476349-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Sugar Recovery Lip Mask Advanced Therapy","$29.00","665","4.64"
"ILIA","https://www.sephora.com/product/ilia-lip-wrap-clean-hydrating-lip-mask-P467765?skuId=2410561","P467765","https://www.sephora.com/productimages/sku/s2410561-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Lip Wrap Overnight Mask","$26.00","1218","4.29"
"Gucci","https://www.sephora.com/product/gucci-eclat-de-beaute-effet-lumiere-all-over-face-lip-gloss-P457649?skuId=2357721","P457649","https://www.sephora.com/productimages/sku/s2357721-main-zoom.jpg?imwidth=270","Luminous Face & Lip Gloss","$37.00","78","3.87"
